subject_category	subject_label	predicate_id	object_id	object_label	match_type	creator_id	mapping_date	subject_id
env_broad_scale	ENVO:cropland biome	skos:relatedMatch	ENVO:01000245	cropland biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:ENVO%3Acropland%20biome
env_broad_scale	cropland biome	skos:relatedMatch	ENVO:01000245	cropland biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:cropland%20biome
env_broad_scale	urban biome	skos:relatedMatch	ENVO:01000249	urban biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:urban%20biome
env_broad_scale	tundra biome	skos:relatedMatch	ENVO:01000180	tundra biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:tundra%20biome
env_broad_scale	terrestrial biome	skos:relatedMatch	ENVO:00000446	terrestrial biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:terrestrial%20biome
env_broad_scale	Terrestrial biome [ENVO:00000446]	skos:relatedMatch	ENVO:00000446	terrestrial biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:Terrestrial%20biome%20%5BENVO%3A00000446%5D
env_broad_scale	Terrestrial biome	skos:relatedMatch	ENVO:00000446	terrestrial biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:Terrestrial%20biome
env_broad_scale	tundra	skos:relatedMatch	ENVO:00000112	tundra	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:tundra
env_broad_scale	Tundra	skos:relatedMatch	ENVO:00000112	tundra	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:Tundra
env_broad_scale	temperate grassland biome	skos:relatedMatch	ENVO:01000193	temperate grassland biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:temperate%20grassland%20biome
env_broad_scale	soil	skos:relatedMatch	ENVO:00001998	soil	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:soil
env_broad_scale	Soil	skos:relatedMatch	ENVO:00001998	soil	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:Soil
env_broad_scale	forest biome	skos:relatedMatch	ENVO:01000174	forest biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:forest%20biome
env_broad_scale	montane grassland biome	skos:relatedMatch	ENVO:01000194	montane grassland biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:montane%20grassland%20biome
env_broad_scale	temperate forest	skos:relatedMatch	ENVO:01001805	temperate forest	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:temperate%20forest
env_broad_scale	temperate grassland	skos:relatedMatch	ENVO:01001811	temperate grassland	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:temperate%20grassland
env_broad_scale	freshwater biome	skos:relatedMatch	ENVO:00000873	freshwater biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:freshwater%20biome
env_broad_scale	Temperate broadleaf and mixed forests	skos:relatedMatch	ENVO:01000389	temperate mixed broadleaf forest	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:Temperate%20broadleaf%20and%20mixed%20forests
env_broad_scale	desert	skos:relatedMatch	ENVO:01001357	desert	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:desert
env_broad_scale	boreal forest	skos:relatedMatch	ENVO:01000250	subpolar coniferous forest biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:boreal%20forest
env_broad_scale	permafrost	skos:relatedMatch	ENVO:00000134	permafrost	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:permafrost
env_broad_scale	shrubland biome	skos:relatedMatch	ENVO:01000176	shrubland biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:shrubland%20biome
env_broad_scale	tropical shrubland biome	skos:relatedMatch	ENVO:01000214	tropical shrubland biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:tropical%20shrubland%20biome
env_broad_scale	tropical moist broadleaf forest biome	skos:relatedMatch	ENVO:01000228	tropical moist broadleaf forest biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:tropical%20moist%20broadleaf%20forest%20biome
env_broad_scale	coniferous forest biome	skos:relatedMatch	ENVO:01000196	coniferous forest biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:coniferous%20forest%20biome
env_broad_scale	polar desert biome	skos:relatedMatch	ENVO:01000186	polar desert biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:polar%20desert%20biome
env_broad_scale	desert biome	skos:relatedMatch	ENVO:01000179	desert biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:desert%20biome
env_broad_scale	ENVO:00002988	skos:relatedMatch	ENVO:00002988	obsolete Temperate grasslands	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:ENVO%3A00002988
env_broad_scale	ENVO:00000876	skos:relatedMatch	ENVO:00000876	obsolete Temperate broadleaf and mixed forest biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:ENVO%3A00000876
env_broad_scale	ENVO:00000446	skos:relatedMatch	ENVO:00000446	terrestrial biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:ENVO%3A00000446
env_broad_scale	ENVO:00003009	skos:relatedMatch	ENVO:00003009	obsolete Subtropical Division (230)	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:ENVO%3A00003009
env_broad_scale	ENVO:00000883	skos:relatedMatch	ENVO:00000883	obsolete Deserts and xeric shrubland biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:ENVO%3A00000883
env_broad_scale	flooded grassland biome	skos:relatedMatch	ENVO:01000195	flooded grassland biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:flooded%20grassland%20biome
env_broad_scale	marine benthic biome	skos:relatedMatch	ENVO:01000024	marine benthic biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:marine%20benthic%20biome
env_broad_scale	large river biome	skos:relatedMatch	ENVO:00000887	large river biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:large%20river%20biome
env_broad_scale	microbial community	skos:relatedMatch	PCO:1000004	microbial community	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:microbial%20community
env_broad_scale	forest soil	skos:relatedMatch	ENVO:00002261	forest soil	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:forest%20soil
env_broad_scale	Forest soil	skos:relatedMatch	ENVO:00002261	forest soil	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:Forest%20soil
env_broad_scale	polar desert	skos:relatedMatch	ENVO:01000186	polar desert biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:polar%20desert
env_broad_scale	sand	skos:relatedMatch	ENVO:01000017	sand	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:sand
env_broad_scale	Temperate coniferous forests	skos:relatedMatch	ENVO:01000211	temperate coniferous forest biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:Temperate%20coniferous%20forests
env_broad_scale	bacteria	skos:relatedMatch	NCBITaxon:2	Bacteria	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:bacteria
env_broad_scale	grassland biome	skos:relatedMatch	ENVO:01000177	grassland biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:grassland%20biome
env_broad_scale	rangeland biome	skos:relatedMatch	ENVO:01000247	rangeland biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:rangeland%20biome
env_broad_scale	grassland	skos:relatedMatch	ENVO:01001206	grassland ecosystem	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:grassland
env_broad_scale	Grassland	skos:relatedMatch	ENVO:01001206	grassland ecosystem	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:Grassland
env_broad_scale	orchard	skos:relatedMatch	ENVO:00000115	orchard	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:orchard
env_broad_scale	polar biome	skos:relatedMatch	ENVO:01000339	polar biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:polar%20biome
env_broad_scale	grassland soil	skos:relatedMatch	ENVO:00005750	grassland soil	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:grassland%20soil
env_broad_scale	bulk soil	skos:relatedMatch	ENVO:00005802	bulk soil	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:bulk%20soil
env_broad_scale	ENVO:taiga	skos:relatedMatch	ENVO:00000109	woodland area	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:ENVO%3Ataiga
env_broad_scale	montane shrubland biome	skos:relatedMatch	ENVO:01000216	montane shrubland biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:montane%20shrubland%20biome
env_broad_scale	fusarium	skos:relatedMatch	NCBITaxon:5506	Fusarium	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:fusarium
env_broad_scale	peatland	skos:relatedMatch	ENVO:00000044	peatland	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:peatland
env_broad_scale	Agricultural soil	skos:relatedMatch	ENVO:00002259	agricultural soil	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:Agricultural%20soil
env_broad_scale	temperate woodland biome	skos:relatedMatch	ENVO:01000221	temperate woodland biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:temperate%20woodland%20biome
env_broad_scale	leaf litter	skos:relatedMatch	ENVO:01000628	plant litter	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:leaf%20litter
env_broad_scale	ENVO:Tropical and subtropical coniferous forest biome	skos:relatedMatch	ENVO:01000209	subtropical coniferous forest biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:ENVO%3ATropical%20and%20subtropical%20coniferous%20forest%20biome
env_broad_scale	tropical and subtropical coniferous forest biome	skos:relatedMatch	ENVO:01000209	subtropical coniferous forest biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-06-09T18:39:46	biosample_ebs:tropical%20and%20subtropical%20coniferous%20forest%20biome
